,"en","zh-CN","zh-TW","ja"
L_8_1,"Everything is Number","万物皆数","萬物皆數","すべては数字だ"
L_8_2,"Cage","笼子","籠子","ケージ"
L_8_3,"Others","他者","他者","その他"
L_8_4,"Anxiety Overflow","焦虑溢出","焦慮溢出","不安オーバーフロー"
D_LL_HI,"Say hello to landlord","向房东打招呼","向房東打招呼","家主に挨拶をする"
D_LL_HI_1,"Hey! Newcomer! How is your stay here?","嘿！你来了！在这里住得怎么样？","嘿！你來了！在這裡住得怎麼樣？","おい！新人！ここでの滞在はどうですか？"
D_LL_HI_2,"Very good, Mr. Landlord. Much better than some hostels I've stayed at.","挺好的，房东先生。比我住过的一些青旅要好很多。","挺好的，房東先生。比我住過的一些青旅好很多。","とてもよかったです、家主さん。私が宿泊したいくつかのホステルよりもはるかに優れています。"
D_LL_HI_3,"Of course, this is a [wave]HIGH-END HOTEL[/wave], how can it be compared with a youth hostel!","那是当然，我这可是[wave]高档旅店[/wave]，怎么能跟青旅相提并论！","那是當然，我這可是[wave]高級旅店[/wave]，怎麼能跟青旅相提並論！","もちろん、ここは[wave]高級ホテル[/wave]です。ユースホステルと比べられるはずがありません。"
D_LL_HI_4,"(Obviously it's the size of a youth hostel...it feels like the bar counters are all freshly built.)","（明明就是青旅的规模啊……感觉吧台都是现搭的。）","（明明就是青旅的規模啊……感覺吧台都是現搭的。）","（明らかにユースホステルくらいの広さですね…バーカウンターも新築って感じです）"
D_LL_HI_5,"Also, don't call me Mr. Landlord, it sounds uncomfortable. Just call me Henry.","另外，别叫我房东先生，听着不舒服。叫我亨利就行。","另外，別叫我房東先生，聽起來不舒服。叫我亨利就行。","あと、「家主さん」とは不快なのでやめてください。ヘンリーと呼んでください。"
D_LL_HI_6,"Okay, Henry.","好的，亨利。","好的，亨利。","わかりました、ヘンリー。"
D_LL_HI_7,"Very good. We have a rule in the hotel, you know?","很好。我们旅店有一个规矩，知道吗？","很好。我們旅館有一個規矩，知道嗎？","とても良い。当ホテルにはルールがあります。知っていますか。"
D_LL_HI_8,"(Huh, just playing cards, it's written in the title.)","（哼，打牌呗，标题上都写了。）","（哼，打牌唄，標題上都寫了。）","（えっ、ただのトランプ、タイトルに書いてあります。）"
D_LL_HI_9,"I don't know, so what is it?","不知道，所以是什么？","不知道，所以是什麼？","分かりません、それで何ですか？"
D_LL_HI_10,"Every guest who enters this hotel can only leave after learning how to play [wave]Dou dizhu[/wave]!","每一个进入本旅店的客人，只有学会玩[wave]斗地主[/wave]，才可以离开！","每一個進入本旅館的客人，只有學會玩[wave]鬥地主[/wave]，才可以離開！","このホテルに入るすべてのゲストは、[wave]闘地主[/wave] の遊び方を学んだ後にのみホテルから出ることができます。"
D_LL_HI_11,"(This is clearly a [shake]black shop[/shake]...)","（这摆明了就是[shake]黑店[/shake]啊……）","（這擺明了就是[shake]黑店[/shake]啊……）","（明らかに[shake]闇店[/shake]ですね…）"
D_LL_HI_12,"So, is there a tutorial?","那，有教程么？","那，有教程麼？","それで、チュートリアルはありますか？"
D_LL_HI_13,"Certainly! --No. Do you like those stinky and long beginner tutorials?","当然！——没有。你喜欢那些又臭又长的新手教程吗？","當然！——沒有。你喜歡那些又臭又長的新手教學嗎？","確かに！ - いいえ。臭くて長い初心者向けチュートリアルは好きですか?"
D_LL_HI_14,"(There can't be no tutorials, right? Thank you, lazy developer.)","（那也不能没教程吧？我谢谢你，偷懒的开发者。）","（那也不能沒教學吧？我謝謝你，偷懶的開發者。）","(チュートリアルがないわけがないですよね? ありがとう、怠惰な開発者。)"
D_LL_HI_15,"But don't worry, the difficulty is very low at the beginning, and many levels can be passed casually...","不过放心，一开始的难度都非常小，很多关卡随便出都能过……","不過放心，一開始的難度都非常小，很多關卡隨便出都能過…","でも、最初は難易度が低く、気軽にクリアできるレベルも多いのでご安心を…。"
D_LL_HI_16,"(You mean there is no level design at all? Thank you x2)","（就是压根没有关卡设计的意思？我谢谢你 x2）","（就是壓根沒有關卡設計的意思？我謝謝你 x2）","(レベルデザインが全くないってことですか？ありがとう×2)"
D_LL_HI_17,"And, you can always [color=b4844f]press Z[/color] to undo the cards!","而且，你时刻可以[color=b4844f]按 Z[/color] 撤回出牌！","而且，你可以隨時[color=b4844f]按 Z [/color]撤回出牌！","また、[color=b4844f]Z を押す[/color]といつでもカードを元に戻すことができます。"
D_LL_HI_18,"That sounds great, so, what about the levels?","那听起来不错，所以，关卡呢？","那聽起來不錯，所以，關卡呢？","それは素晴らしいと思いますが、レベルはどうですか?"
D_LL_HI_19,"Don't worry, chat with me for a while first...","别急，先陪我多聊一会儿……","別急，先陪我多聊一會兒…","心配しないで、まずは少しお話してください..."
D_LL_HOTEL,"About this hotel","关于这个旅店","關於這個旅館","このホテルについて"
D_LL_HOTEL_1,"Is this hotel old?","这个旅店有好些年头了吧？","這個旅店有好幾年了吧？","このホテルは古いですか？"
D_LL_HOTEL_2,"Well, decades. It has been over thirty years since I bought it when I got married...","嗯，几十年了。从我结婚那年买下来到现在，也有三十来年了……","嗯，幾十年了。從我結婚那年買下來到現在，也有三十來年了…","まあ、何十年も。結婚時に購入してから30年以上経ちますが…"
D_LL_HOTEL_3,"Such a big hotel must cost a lot of money, right?","这么大的旅店，得花不少钱吧？","這麼大的旅店，要花不少錢吧？","こんな大きなホテルって、きっとお金がかかるんですよね？"
D_LL_HOTEL_4,"Gee, I knew you would say that!","哎呀，我就猜到你会这么说！","哎呀，我就猜到你會這麼說！","いや、あなたがそう言うだろうと思っていました！"
D_LL_HOTEL_5,"This place is very remote, and the housing prices at that time were not that expensive!","这地方偏僻的很，再说当时的房价也没那么贵嘛！","這地方偏僻的很，再說當時的房價也沒那麼貴嘛！","この場所は非常に辺鄙な場所で、当時の住宅価格はそれほど高くありませんでした。"
D_LL_HOTEL_6,"(After all, he is a rich man...)","（再怎么说也是有钱人……）","（再怎麼說也是有錢人…）","（結局のところ、彼はお金持ちです...）"
D_LL_HOTEL_7,"So what do you do to make money now?","那你现在靠什么赚钱呢？","那你現在靠什麼賺錢呢？","それで、今お金を稼ぐために何をしますか？"
D_LL_HOTEL_8,"How can a hotel make money? Good question. [wave]""Repairman, what do you do for a living?""[/wave]","旅店能靠什么赚钱？好问题。[wave]“师傅，您是做什么工作的？”[/wave]","旅店能靠什麼賺錢？好問題。[wave]“師傅，您是做什麼工作的？”[/wave]","ホテルはどうやって儲かるの？良い質問。[wave]「修理屋さん、何をして生計を立てているんですか？」[/wave]"
D_LL_HOTEL_9,"But I've been staying here for how many days, and you haven't asked me for any money...","可是我这住几天了，你也没问我收过钱……","可是我這住幾天了，你也沒問我收過錢…","でも、何日もここに滞在しているのに、お金を要求されません…。"
D_LL_HOTEL_10,"Oops, you're not here for a long time, so it doesn't matter.","哎呀，你又不是长期住，无所谓啦。","哎呀，你又不是長期住，無所謂啦。","おっと、あなたは長い間ここにいないので、それは問題ではありません。"
D_LL_HOTEL_11,"Our hotel only charges long-term residents, and there was [color=737692]just one room left[/color] when you came. It was temporarily given to you before it was cleaned up.","本店只对长期住客收费，而且你来的时候[color=737692]正好剩一间房[/color]，还没怎么收拾，就暂时让给你了。","本店只對長期住客收費，而且你來的時候[color=737692]剛好剩一間房[/color]，還沒怎麼收拾，就暫時讓給你了。","当ホテルは長期滞在者専用の料金設定となっており、お客様がご来店された際には[color=737692]一部屋だけ空きがあり[/color]、片づけ前に仮お渡しさせていただきました。"
D_LL_HOTEL_12,"(Is this service more casual than a youth hostel?)","（这服务比青旅还随便吧？）","（這服務比青旅還隨便吧？）","（ユースホステルよりカジュアルなサービスでしょうか？）"
D_LL_HOTEL_13,"Are the guests upstairs all long-term residents?","那楼上的那些客人，都是长期住的吗？","那樓上的那些客人，都是長期住的嗎？","上の階の宿泊者は全員長期滞在者ですか？"
D_LL_HOTEL_14,"Hmm...it can be long or short. Most of the time it's not long. I have [color=737692]a child who lives here for a long time[/color]. Let me think about it...well, it's been three years...","嗯……有长有短，大部分时间都不长，[color=737692]有个小孩住得挺久[/color]，我想想……嗯，有三年了……","嗯……有長有短，大部分時間都不長，[color=737692]有個小孩住得挺久[/color]，我想想……嗯，有三年了……","うーん...長いこともあれば短いこともあります。ほとんどの場合は長くはありません。私にはここに[color=737692]長く住んでいる子供がいます[/color]。考えさせてください...まあ、もう3年になります..."
D_LL_HOTEL_15,"(Child?) It feels like you can't make much money, is that really okay?","（小孩？）那感觉也赚不到什么钱啊，真的没问题吗？","（小孩？）那感覺也賺不到什麼錢啊，真的沒問題嗎？","（子供？）あまり稼げない気がするんですが、本当に大丈夫ですか？"
D_LL_HOTEL_16,"Why! Why do you ask so many questions? Why are you still trying to find out about our store's [shake]trade secrets[/shake]?","哎！你问那么多干什么？怎么还打探起本店的[shake]商业机密[/shake]了！","哎！你問那麼多幹嘛？怎麼還打探起本店的[shake]商業機密[/shake]了！","なぜ！なぜそんなにたくさん質問するのですか？なぜあなたはまだ私たちの店の[shake]企業秘密[/shake]について知ろうとしているのですか？"
D_LL_HOTEL_17,"Oh, I'm sorry... (Not much hair, but a big temper...)","啊，不好意思。（行行行，头发不多，脾气还不小……）","啊，不好意思。（行行行，頭髮不多，脾氣還不小……）","ああ、ごめんなさい。（髪の毛は少ないけど気性が激しい….）"
D_LL_DOU,"About playing cards","关于打牌","關於打牌","トランプについて"
D_LL_DOU_0,"Are the rules of playing cards here the same as Landlords?","这里打牌的规则就是斗地主吗？","這裡打牌的規則就是鬥地主嗎？","ここでのカードのルールはランドロードと同じですか?"
D_LL_DOU_1,"Yes! But not quite.","是！但又不完全是。","是！但又不完全是。","はい！しかし、完全ではありません。"
D_LL_DOU_2,"All card games are based on the ""run fast"" principle of Landlords, but the rules are slightly different from traditional Landlords.","所有的卡牌游戏都基于斗地主的「跑得快」原则，但规则与传统斗地主略有差异。","所有的卡牌遊戲都基於斗地主的「跑得快」原則，但規則與傳統斗地主略有差異。","すべてのカード ゲームは、ランドロードの「速く走る」原則に基づいていますが、ルールは従来のランドロードとは少し異なります。"
D_LL_DOU_3,"For example, we did not bid, and each round randomly designated a landowner to play the cards first, and the cards of both parties were public.","譬如我们没有叫牌，每局随机指定一名地主先出牌，而且双方的牌都是公开的。","譬如我們沒有叫牌，每局隨機指定一名地主先出牌，而且雙方的牌都是公開的。","たとえば、私たちは入札を行わず、各ラウンドで最初にカードをプレイする地主をランダムに指定し、双方のカードは公開されました。"
D_LL_DOU_4,"Then there is no game element at all, it is just a comparison of size?","那就完全没有博弈的成分，就是单纯的比大小了？","那就完全沒有博弈的成分，就是單純的比大小了？","じゃあゲーム要素は全くなくてただの大きさ比べ？"
D_LL_DOU_5,"Certainly! Randomness and unexpected situations are the enemies of puzzle solving!","当然！随机性和非预期情形是解谜的敌人！","當然！隨機性和非預期情形是解謎的敵人！","確かに！ランダム性と予期せぬ事態は謎解きの敵です!"
D_LL_DOU_6,"But the size comparison is also very strategic! It's definitely not as simple as you think!","但比大小也是很有策略性的！ 绝对不是你想的那么简单！","但比大小也是很有策略性的！絕對不是你想的那麼簡單！","しかし、大きさの比較も非常に戦略的です。それはあなたが思っているほど単純ではありません!"
D_LL_DOU_7,"Moreover, [color=b4844f]different people also have their own rules for playing Landlords[/color], so you have to adapt accordingly.","而且，[color=b4844f]不同的人也有自己的斗地主规则[/color]，要随机应变。","而且，[color=b4844f]不同的人也有自己的斗地主規則[/color]，要隨機應變。","さらに、[color=b4844f]人によって大家をプレイするための独自のルールがあるため[/color]、それに応じて適応する必要があります。"
D_LL_DOU_8,"It still sounds boring...","听起来还是很无聊啊……","聽起來還是很無聊啊…","まだ退屈に聞こえます..."
D_LL_DOU_9,"Oh, playing cards is just a gimmick, the important thing is chatting and communicating!","哎呀，打牌只是个噱头嘛，重要的还是聊天，交流！","哎呀，打牌只是個噱頭嘛，重要的還是聊天，交流！","ああ、トランプは単なる遊びです。重要なのはチャットとコミュニケーションです。"
D_LL_DOU_10,"All right. (I think you just want to find someone to brag about...)","好吧。（我看你就是想找人吹牛罢了……）","好吧。（我看你就是想找人吹牛罷了……）","よし。（ただ自慢できる人を見つけたいだけだと思います...）"
D_LL_RULES,"Different rules","不同的规则","不同的規則","異なるルール"
D_LL_RULES_1,"What do you mean by ""everyone has their own rules""?","你说的「每个人都有自己的规则」是什么意思？","你說的「每個人都有自己的規則」是什麼意思？","「人にはそれぞれ独自のルールがある」とはどういう意味ですか？"
D_LL_RULES_2,"It means ""everyone has his own rules""!","就是「每个人有自己的规则」的意思！","就是「每個人都有自己的規則」的意思！","それは、「人にはそれぞれ独自のルールがある」ということです。"
D_LL_RULES_3,"... If this happens again I will [shake]refund the money[/shake].","…… 再这样我就[shake]退款[/shake]了。","…… 再這樣我就[shake]退款[/shake]了。","...また同じようなことがあれば[shake]返金[/shake]させていただきます。"
D_LL_RULES_4,"Oops, I can't explain this clearly in just a few words!","哎呀，这个三言两语讲不清楚嘛！","哎呀，這個三言兩語講不清楚嘛！","おっと、これはほんの少しの言葉では明確に説明できません。"
D_LL_RULES_5,"This... You can check the rules of the game by clicking on the rules in the upper left corner when playing cards!","这个…… 游戏规则你可以打牌时点击左上角的规则查看嘛！","這個… 遊戲規則你可以打牌時點選左上角的規則查看嘛！","この... カードプレイ時に左上のルールをクリックするとゲームのルールを確認できます！"
D_LL_RULES_6,"That... In addition to the rules, everyone has their own set of logic for playing cards... This is hard to explain...","那个…… 除了规则以外，每个人还有自己的一套出牌逻辑…… 这个也不好表述了……","那個…… 除了規則以外，每個人還有自己的一套出牌邏輯…… 這個也不好表述了……","それは...ルールに加えて、誰もがカードをプレイするための独自のロジックを持っています...これを説明するのは難しい..."
D_LL_RULES_7,"But when I read the rules, why didn't they speak human language?","可是我看了那些规则文字，怎么不讲人话啊？","可是我看了那些規則文字，怎麼不講人話啊？","しかし、ルールを読むと、なぜ彼らは人間の言葉を話さないのでしょう？"
D_LL_RULES_8,"Hey, puzzle games are only fun if you slowly explore and make mistakes!","哎呀，解谜游戏就是慢慢摸索试错才有意思嘛！","哎呀，解謎遊戲就是慢慢摸索試誤才有意思！","パズル ゲームは、ゆっくり探索して間違いを犯した場合にのみ面白くなります。"
D_LL_RULES_9,"People who have never played poker are scared away when they see such a long rule!","那些从来不会打扑克牌的人，看到那么长的规则，全都吓跑了！","那些從來不會打撲克牌的人，看到那麼長的規則，全都嚇跑了！","ポーカーをプレイしたことがない人は、これほど長いルールを見ると怖がってしまいます。"
D_LL_RULES_10,"I think you are just lazy! Can't you add some pictures?","我看你就是懒！不能配点图吗！","我看你就是懶！ 不能配點圖嗎！","あなたはただ怠け者なだけだと思います！ 写真を追加してもらえませんか？"
D_LL_RULES_11,"In fact, compared to the difficulty of formulating rules...","其实，相较于规则表述困难的问题……","其實，相較於規則表述困難的問題…","実際、ルール策定の難しさに比べれば……"
D_LL_RULES_12,"Due to the limited ability of programmers, the rules themselves are not rigorous enough, which is the more important reason...","由于程序能力有限，导致的规则本身不够严谨，才是更重要的原因……","由於程序能力有限，導致的規則本身不夠嚴謹，才是更重要的原因…","プログラマーの能力が限られているため、ルール自体が十分に厳密ではない、それがより重要な理由です..."
D_LL_RULES_13,"If you say this, I want a refund even more!","你这样说我更要退款了啊！","你這樣說我更要退款了！","そんなこと言うなら返金してほしい！"
D_LL_RULES_14,"That... [color=b4844f]When following the cards[/color], press the ""Hint"" button to see what cards you can play now!","那个…… [color=b4844f]跟牌的时候[/color]，按「提示」按钮可以看到自己现在可以打什么牌！","那個…… [color=b4844f]跟牌的時候[/color]，按下「提示」按鈕可以看到自己現在可以打什麼牌！","それは… [color=b4844f]カードをたどると[/color]、「ヒント」ボタンを押すと、今プレイできるカードが表示されます！"
D_LL_RULES_15,"Yes, then what?","是，然后呢？","是，然後呢？","はい、それでは？"
D_LL_RULES_16,"Then it's time for happy trial and error!","然后就是快乐的试错时间！","然後就是快樂的試錯時間！","それでは、楽しい試行錯誤の時間です。"
D_LL_RULES_17,"... (It looks like there is no way out.)","…… （看样子是没辙了。）","…… （看來是沒轍了。）","... (どうやら出口はないようです。)"
D_LL_DIA,"About the conversation","关于对话","關於對話","会話について"
D_LL_DIA_1,"What's the point of the conversation here?","这里的对话有什么意义？","這裡的對話有什麼意義？","ここでの会話の意味は何ですか？"
D_LL_DIA_2,"It's meaningless, it's just nonsense.","没意义，就是瞎聊呗。","沒意義，就是瞎聊嗆。","それは無意味です、それはただのナンセンスです。"
D_LL_DIA_3,"Don't even have the unlocking elements?","连解锁要素都没有？","連解鎖要素都沒有？","ロック解除要素はないんですか？"
D_LL_DIA_4,"That's still there, you have to play cards or [color=6a6e42]do something else[/color] to unlock conversations with different characters.","那还是有的，你得打牌，或者[color=6a6e42]干点别的[/color]，才能解锁和不同人物的对话。","那還是有的，你得打牌，或者[color=6a6e42]幹點別的[/color]，才能解鎖和不同人物的對話。","まだいくつかあります。さまざまなキャラクターとの会話のロックを解除するには、カードをプレイするか、[color=6a6e42]他のことをする[/color]必要があります。"
D_LL_DIA_5,"So how do I know who has new plots?","那我怎么知道谁有新剧情了呢？","那我怎麼知道誰有新劇情了呢？","では、誰が新しいプロットを持っているかをどうやって知ることができるのでしょうか?"
D_LL_DIA_6,"You should know what you have done and go find someone related to it.","你做了什么，自己应该清楚，去找与此有关的人。","你做了什麼，你應該清楚，去找與此有關的人。","自分が何をしたかを知り、それに関係する人を探しに行くべきです。"
D_LL_DIA_7,"Of course, every time there is a new situation, [color=6a6e42]you can also come to me[/color] and I may tell you something.","当然，每次有新情况，你[color=6a6e42]也可以来找我[/color]，我可能会告诉你一些事情。","當然，每次有新情況，你[color=6a6e42]也可以來找我[/color]，我可能會告訴你一些事情。","もちろん、新しい状況があるたびに、あなたが[color=6a6e42]私のところに来て[/color]、私があなたに何かを伝えることもできます。"
D_LL_DIA_8,"… Do you know what two things I hate most in my life?","…… 你知道我平生最讨厌哪两件事吗？","…… 你知道我平生最討厭哪兩件事嗎？","…私が人生で最も嫌いなことを 2 つ知っていますか?"
D_LL_DIA_9,"Which two?","哪两件？","哪兩件？","どの 2 つですか？"
D_LL_DIA_10,"[shake]Look for things, and run around[/shake]!","[shake]找东西和跑图[/shake]！","[shake]找東西和跑圖[/shake]！","[shake]探したり、走り回ったり[/shake]！"
D_LL_DIA_11,"There must be some sense of immersion, otherwise it would be just doing tasks, which would be boring.","那总得有点代入感吧，不然就是做任务，多没意思。","那總得有點代入感吧，不然就是做任務，多沒意思。","ある程度の没入感がないと、ただ単にタスクをこなしているだけになってしまい、退屈になってしまいます。"
D_LL_DIA_12,"Otherwise, all point-and-click puzzle and team-running plot games will have negative scores?","那不然，所有的点击解谜和跑团剧情游戏都是负分喽？","那不然，所有的點擊解謎和跑團劇情遊戲都是負分嘍？","そうしないと、すべてのポイント アンド クリック パズル ゲームやチーム ランニング プロット ゲームのスコアがマイナスになってしまいますか?"
D_LL_DIA_13,"... (This is the first time I have seen someone express the lack of design in such a fresh and refined manner...)","…… （头一次见到把缺少设计说得那么清新脱俗的……）","…… （頭一次見到把缺少設計說得那麼清新脫俗的……）","... (デザインの欠如をこれほど新鮮かつ洗練された方法で表現している人を初めて見ました...)"
D_LL_LL0,"Yourself (first meeting)","你自己（初见）","你自己（初見）","あなた自身（初対面）"
D_LL_LL0_1,"Can you tell me your story?","可以跟我講講你的故事嗎？","可以跟我講講你的故事嗎？","あなたの話を聞かせてもらえますか？"
D_LL_LL0_2,"Are we familiar with each other?","我们之间很熟吗？","我們之間很熟嗎？","私たちはお互いをよく知っていますか？"
D_LL_LL0_3,"If you... don't want to talk, just say so!","你…… 不愿意讲就直说！","你…… 不願意講就直說！","もし...話したくないなら、そう言ってください！"
D_LL_LL0_4,"The rule of our store is to communicate through playing cards, so this young hero please do as the Romans do.","本店的规矩就是通过打牌交流，这位少侠还请入乡随俗。","本店的規矩就是透過打牌交流，這位少俠還請上鄉隨俗。","当店のルールはトランプでコミュニケーションをとることですので、この若き英雄もローマ人に倣ってください。"
D_LL_LL0_5,"... (Why am I still a martial artist...)","…… （怎么还武侠起来了……）","…… （怎麼還武俠起來了……）","... (なぜまだ格闘家をしているの...)"
D_HK_HI,"Say hello to the housekeeper","向管家问好","向管家問好","家政婦さんにご挨拶"
D_HK_HI_1,"Hey, you are the new guy!","哎，你就是新来的那个小伙子吧！","哎，你就是新來的那個小伙子吧！","やあ、あなたは新しい人です！"
D_HK_HI_2,"Well, it's me.","嗯，是我。","嗯，是我。","そうですね、私です。"
D_HK_HI_3,"What, have you encountered [wave]something troublesome[/wave] recently?","怎么，最近遇到点啥[wave]烦心事[/wave]了？","怎麼，最近遇到點啥[wave]煩心事[/wave]了？","あれ、最近何か[wave]困ったこと[/wave]はありませんか？"
D_HK_HI_4,"It's normal to encounter something when you come to this hotel, right? It turns out this is a [shake]shelter[/shake]!","来这个旅店总得遇上点啥事才正常是吗？合着这是[shake]避难所[/shake]呀！","來這個旅店總得遇上點啥事才正常是嗎？ 合著這是[shake]避難所[/shake]呀！","このホテルに来たら何かに遭遇するのが普通ですよね？ どうやらここは[shake]避難所[/shake]だそうです！"
D_HK_HI_5,"Haha... No, it's just that in this wilderness, the guests who come here may have some stories.","哈哈…… 没有，只是这荒郊野岭的，来这里的客人，恐怕有有些故事。","哈哈…… 沒有，只是這荒郊野嶺的，來這裡的客人，恐怕有有些故事。","はは…いえ、ただ、この荒野では、ここに来るお客さんたちにも物語があるのかもしれません。"
D_HK_HI_6,"Many of the guests I receive here come here because of various life problems.","我这里接待的客人，很多都是有各种生活上的困扰才来这里的。","我這裡接待的客人，很多都是有各種生活上的困擾才來這裡的。","私がここに迎えるゲストの多くは、さまざまな生活上の問題を抱えてここに来ます。"
D_HK_HI_7,"What about family conflicts, study pressure, being caught stealing...","什么家庭矛盾啦、学习压力啦、偷窃被抓啦……","什麼家庭矛盾啦、學習壓力啦、偷竊被抓啦…","家族間の不和、勉強のプレッシャー、窃盗で捕まった場合はどうでしょうか..."
D_HK_HI_8,"[shake]Are there really cases where criminals are being harbored[/shake]? !","[shake]真有窝藏犯罪分子的情况啊[/shake]？！","[shake]真有窩藏犯罪者的情況啊[/shake]？ ！","[shake]本当に犯罪者が隠蔽されている事件はあるのでしょうか[/shake]？ ！"
D_HK_HI_9,"Oops, let me tell you later, that child has lived here for more than three years... What a poor child, the landlord should have mentioned it to you.","哎呀，那回头跟你说，那孩子住这里三年多了……怪可怜的一孩子，房东应该和你提起过。","哎呀，那回頭跟你說，那孩子住這裡三年多了……怪可憐的一孩子，房東應該跟你提起過。","おっと、後で教えますが、その子はここに 3 年以上住んでいます...なんて可哀そうな子でしょう。家主があなたにそのことを知らせるべきでした。"
D_HK_HI_10,"Then there are no normal people here?","那这里就没有啥正常人了呗？","那這裡就沒有啥正常人了唄？","じゃあここには普通の人はいないの？"
D_HK_HI_11,"Having said this, who hasn't been a little troubled yet? If you don't have any troubles, then you are not a normal person...","这话说的，谁还没点困扰呢！啥困扰都没有才不是正常人吧……","這話說的，誰還沒點困擾！ 啥困擾都沒有才不是正常人吧…","そうは言っても、まだ少し悩んでいない人はいないでしょうか？ 悩みがないなら普通の人じゃないよ…"
D_HK_HI_12,"However, [color=737692]the little girl on the top floor[/color] moved here recently and seems to be just here for tourism.","不过[color=737692]最顶楼的小女孩[/color]是最近搬来的，似乎只是旅游来的。","不過[color=737692]最頂樓的小女孩[/color]是最近搬來的，似乎只是從旅遊來的。","しかし、[color=737692]最上階の女の子[/color]は最近ここに引っ越してきて、ただ観光目的で来ているようです。"
D_HK_HI_13,"[wave]Another kid[/wave]?","[wave]还有小孩[/wave]？","[wave]還有小孩[/wave]？","[wave]別の子供[/wave]？"
D_HK_HI_14,"Yes, [color=6a6e42]the children live on the third floor[/color], and the second floor is full of adult residents.","有，[color=6a6e42]孩子们都住在三楼[/color]，二楼都是成年住户。","有，[color=6a6e42]孩子們都住在三樓[/color]，二樓都是成年住戶。","はい、[color=6a6e42]子供たちは 3 階に住んでいます[/color]、2 階は大人の住人でいっぱいです。"
D_HK_HI_15,"Okay, I'm gradually understanding everything.","好的，我逐渐理解一切。","好的，我逐漸理解一切。","そうですね、徐々にすべてを理解していきます。"
D_HK_HOTEL,"About this hotel","关于这个旅馆","關於這個旅館","このホテルについて"
D_HK_HOTEL_1,"Can you tell me about this hotel?","能跟我讲讲这个旅店吗？","能跟我講講這個旅店嗎？","このホテルについて教えていただけますか？"
D_HK_HOTEL_2,"Okay, if you have anything you want to know, I'll try my best to answer it.","可以，您有什么想知道的，我尽可能回答。","可以，您有什麼想知道的，我盡可能回答。","わかりました、何か知りたいことがあれば、全力でお答えします。"
D_HK_HOTEL_3,"This probably wasn't a hotel from the beginning. I feel like a lot of the decor is improvised...","这里应该不是一开始就是旅店的吧。我感觉很多装潢都是临时拼凑出来的……","這裡應該不是一開始就是旅館的吧。 我感覺很多裝潢都是臨時拼湊出來的…","おそらく最初からホテルではなかったのでしょう。 装飾も即興で作ったものが多いような気がしますが…"
D_HK_HOTEL_4,"Yes, this was originally the landlord's private residence. It has only been slightly decorated in the past two years...","不错，这里原本是房东的私人府邸。这两年才稍微装饰了些……","不錯，這裡原本是房東的私人府邸。 這兩年才稍微裝飾了一下…","そう、ここはもともと地主の私邸だったのだ。 ここ2年くらいでほんの少しだけ飾ってあります…。"
D_HK_HOTEL_5,"(As expected, he is a rich man, and he uses such a big house as a private residence...)","（果然是有钱人，这么大个房子当私房……）","（果然是有錢人，這麼大房子當私房……）","（さすがお金持ち、こんな大きな家を私邸として使っているんですね…）"
D_HK_HOTEL_6,"At first, people lived there alone, but later some people took refuge here, and gradually it became like a hotel...","一开始都是自己人在住，后来有一些人投靠这里，渐渐的就变成旅店的样子了……","一開始都是自己人住，後來有些人投靠這裡，漸漸的就變成旅店的樣子了…","最初は一人で住んでいたのですが、避難する人も増え、徐々にホテルのようになっていきました…。"
D_HK_HOTEL_7,"Finally, we simply renovated it into a hotel and accepted some people who passed by to live here...","索性最后就在此基础上装修成旅馆，接受一些路过此地居住的人……","索性最後就在此基礎裝修成旅館，接受一些路過此地居住的人…","最終的には、それを単純にホテルに改装し、通りかかった人たちをここに住まわせることにしました..."
D_HK_HOTEL_8,"Well...other than that, there's nothing special about it.","嗯……除此以外，倒也没啥特别的了。","嗯……除此之外，倒也沒啥特別的了。","そうですね…それ以外は特に何もありません。"
D_HK_HOTEL_9,"You are probably not a staff member, right? I guess, it's the landlord's lover?","你应该也不是什么工作人员吧？我猜，是房东的爱人？","你應該也不是什麼工作人員吧？ 我猜，是房東的愛人？","あなたはおそらくスタッフではありませんよね？ 地主の愛人かな？"
D_HK_HOTEL_10,"(Laughs) No, we are actually siblings.","（笑）并不是，我们其实是姐弟。","（笑）並不是，我們其實是姐弟。","（笑）いえ、実は私たち兄弟なんです。"
D_HK_HOTEL_11,"Is this the legendary sister-brother relationship? !","这就是传说中的姐弟恋吗？！","這就是傳說中的姐弟戀嗎？ ！","これが伝説の姉弟関係なのか？ ！"
D_HK_HOTEL_12,"what are you talking about!","你在说什么呀！","你在說什麼呀！","あなたは何について話しているのですか！"
D_HK_HOTEL_13,"Although they are said to be siblings, they are actually very distantly related. They are more like acquaintances by blood...","说是姐弟，其实关系很远，更像是靠血缘认识的熟人吧……","說是姐弟，其實關係很遠，比較像是靠血緣認識的熟人吧…","兄弟と言われていますが、実はとても遠い親戚で、血の繋がりのような関係なんです…。"
D_HK_HOTEL_14,"""Blood relationship"", in the final analysis, is still a kind of fate.","“血缘”，说到底，不还是一种缘分嘛。","“血緣”，說到底，不還是一種緣分嘛。","「血のつながり」というのは、結局のところ、やはり運命のようなものである。"
D_HK_LL0,"About the landlord","关于房东","關於房東","家主について"
D_HK_LL0_1,"Can you tell me more about the landlord?","关于房东，你能跟我讲讲更多的事吗？","關於房東，你能跟我講講更多的事嗎？","家主について詳しく教えていただけますか？"
